date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:02	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2005%20Jul%202020%2009:09:02%20GMT	http://shayshab.xyz/robots.txt		(from )
15:09:03	40867/40867	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202020%2018:47:18%20GMT	http://shayshab.xyz/	C:/My%20Web%20Sites/portfolio/shayshab.xyz/index.html	(from )
15:09:04	9467/9467	---M--	200	added ('OK')	text/css	date:Sun,%2031%20Dec%202017%2002:12:24%20GMT	http://shayshab.xyz/css/open-iconic-bootstrap.min.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/open-iconic-bootstrap.min.css	(from http://shayshab.xyz/)
15:09:06	73641/73641	---M--	200	added ('OK')	text/css	date:Sun,%2031%20Dec%202017%2002:12:24%20GMT	http://shayshab.xyz/css/animate.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/animate.css	(from http://shayshab.xyz/)
15:09:06	3440/3440	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202017%2007:21:46%20GMT	http://shayshab.xyz/css/owl.carousel.min.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/owl.carousel.min.css	(from http://shayshab.xyz/)
15:09:07	965/965	---M--	200	added ('OK')	text/css	date:Sun,%2031%20Dec%202017%2002:12:24%20GMT	http://shayshab.xyz/css/owl.theme.default.min.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/owl.theme.default.min.css	(from http://shayshab.xyz/)
15:09:08	6950/6950	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202018%2005:49:18%20GMT	http://shayshab.xyz/css/magnific-popup.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/magnific-popup.css	(from http://shayshab.xyz/)
15:09:08	25983/25983	---M--	200	added ('OK')	text/css	date:Thu,%2010%20May%202018%2023:23:38%20GMT	http://shayshab.xyz/css/aos.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/aos.css	(from http://shayshab.xyz/)
15:09:10	1407/1407	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202019%2004:20:14%20GMT	http://shayshab.xyz/css/flaticon.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/flaticon.css	(from http://shayshab.xyz/)
15:09:10	46816/46816	---M--	200	added ('OK')	text/css	date:Thu,%2010%20May%202018%2023:57:40%20GMT	http://shayshab.xyz/css/ionicons.min.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/ionicons.min.css	(from http://shayshab.xyz/)
15:09:11	79875/79875	---M--	200	added ('OK')	text/css	date:Wed,%2023%20May%202018%2006:16:44%20GMT	http://shayshab.xyz/css/icomoon.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/icomoon.css	(from http://shayshab.xyz/)
15:09:14	40867/40867	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202020%2018:47:18%20GMT	http://shayshab.xyz/index.html	C:/My%20Web%20Sites/portfolio/shayshab.xyz/index-2.html	(from http://shayshab.xyz/)
15:09:15	257468/257468	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Sep%202019%2008:07:54%20GMT	http://shayshab.xyz/css/style.css	C:/My%20Web%20Sites/portfolio/shayshab.xyz/css/style.css	(from http://shayshab.xyz/)
15:09:19	27563/27563	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202020%2013:16:22%20GMT	http://shayshab.xyz/images/one.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/one.jpg	(from http://shayshab.xyz/)
15:09:25	49574/49574	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202020%2013:16:30%20GMT	http://shayshab.xyz/images/two.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/two.jpg	(from http://shayshab.xyz/)
15:09:27	64009/64009	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202020%2013:16:40%20GMT	http://shayshab.xyz/images/three.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/three.jpg	(from http://shayshab.xyz/)
15:09:46	207693/207693	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202020%2012:27:38%20GMT	http://shayshab.xyz/images/about3.jpeg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/about3.jpg	(from http://shayshab.xyz/)
15:10:16	314572/314572	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jun%202019%2010:29:14%20GMT	http://shayshab.xyz/images/work-2.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/work-2.jpg	(from http://shayshab.xyz/)
15:10:30	437627/437627	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jun%202019%2007:58:34%20GMT	http://shayshab.xyz/images/work-1.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/work-1.jpg	(from http://shayshab.xyz/)
15:10:56	548396/548396	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jun%202019%2010:42:58%20GMT	http://shayshab.xyz/images/work-3.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/work-3.jpg	(from http://shayshab.xyz/)
15:10:57	22340/22340	---M--	200	added ('OK')	text/html	date:Fri,%2013%20Sep%202019%2008:10:36%20GMT	http://shayshab.xyz/single.html	C:/My%20Web%20Sites/portfolio/shayshab.xyz/single.html	(from http://shayshab.xyz/)
15:11:22	153691/153691	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202019%2009:55:48%20GMT	http://shayshab.xyz/images/image_1.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/image_1.jpg	(from http://shayshab.xyz/)
15:11:33	385407/385407	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jun%202019%2013:46:18%20GMT	http://shayshab.xyz/images/work-6.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/work-6.jpg	(from http://shayshab.xyz/)
15:11:35	76443/76443	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Mar%202019%2007:27:02%20GMT	http://shayshab.xyz/images/image_2.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/image_2.jpg	(from http://shayshab.xyz/)
15:11:44	67519/67519	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Mar%202019%2007:31:50%20GMT	http://shayshab.xyz/images/image_3.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/image_3.jpg	(from http://shayshab.xyz/)
15:11:45	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2005%20Jul%202020%2009:11:45%20GMT	http://shayshab.xyz/shayshab@gmail.com	C:/My%20Web%20Sites/portfolio/shayshab.xyz/shayshab@gmail.1a.delayed	(from http://shayshab.xyz/)
15:12:00	153856/153856	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202019%2009:36:08%20GMT	http://shayshab.xyz/images/bg_1.jpg	C:/My%20Web%20Sites/portfolio/shayshab.xyz/images/bg_1.jpg	(from http://shayshab.xyz/)
15:12:03	11421/11421	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20May%202018%2009:04:40%20GMT	http://shayshab.xyz/js/jquery-migrate-3.0.1.min.js	C:/My%20Web%20Sites/portfolio/shayshab.xyz/js/jquery-migrate-3.0.1.min.js	(from http://shayshab.xyz/)
15:12:07	19032/19032	---M--	200	added ('OK')	application/javascript	date:Sun,%2031%20Dec%202017%2002:12:24%20GMT	http://shayshab.xyz/js/popper.min.js	C:/My%20Web%20Sites/portfolio/shayshab.xyz/js/popper.min.js	(from http://shayshab.xyz/)
15:12:17	58072/58072	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Feb%202019%2002:01:40%20GMT	http://shayshab.xyz/js/bootstrap.min.js	C:/My%20Web%20Sites/portfolio/shayshab.xyz/js/bootstrap.min.js	(from http://shayshab.xyz/)
